PROJECT NAME,AGENCY,project ZIP,project CD,STATUS,artist ZIP,"project
START date",FULL 1% amount,"ART
contract $",art contract START,COMMUNITY MEETING date(s), END DATE
Pecan Park Gymnasium,Rec+Parks,90033,14,completed,90065-2152,11/6/2002,19400,15908,11/6/2002,8/5/2003,11/5/2005
Mar Vista Fire Station No. 62,Fire,90066,11,completed,92502,11/4/2003,58434,50000,11/4/2003,6/8/2004,7/13/2007
West Valley Animal Care & Services Center,Animal Services,91311,12,completed,92371,11/4/2002,123000,100860,11/4/2002,4/9/2003,2/8/2007
Hollywood Fire Station No. 82,Fire,90028,13,completed,87502,11/30/2007,100000,105001,11/30/2007,10/14/2008,3/31/2016
Eagle Rock Child Care Center,Rec+Parks,90041,14,completed,90266,7/16/1999,9100,7600,11/23/1998,3/9/1999,4/15/2002
Van Ness Park Gymnasium,Rec+Parks,90043,8,completed,90026,11/20/2003,18080,14825,11/20/2002,10/21/2004,9/21/2006
Aiso Street Parking,Police,90012,14,completed,90031,11/2/2005,300000,250000,11/2/2005,6/13/2007,unknown
El Sereno Constituent Services Center | CD 14,BOE,90032,14,completed,90048,11/8/2006,17900,15000,11/18/2006,4/5/2007,3/7/2008
San Pedro Fire Station No. 36,Fire,90731,15,completed,90731,11/18/2003,58434,53903,11/18/2003,9/13/2004,unknown
Mason Childcare Center,Rec+Parks,91311,12,completed,91107,11/18/2003,15000,15000,11/18/2003,3/10/2004,10/4/2005
Tiara Street Intergenerational Center,Rec+Parks,91601,2,completed,90660,8/17/2010,11480,9500,11/17/2010,5/19/2011,5/31/2013
Valley Communications Dispatch Center,Police,91304,12,completed,91106,11/16/2004,68200,40000,11/16/2004,12/10/2004,5/31/2007
North Central Animal Care & Services Center,Animal Services,90031,1,completed,90058,11/14/2002,98000,80360,11/14/2002,10/11/2005,2/28/2007
Harbor Gateway-Harbor City Branch Library,Library,90710,15,completed,90035,11/12/2002,20000,20000,11/12/2002,5/13/2004,10/11/2006
Pacoima Branch Library,Library,91331,7,completed,90004,11/1/1998,20000,20000,11/1/1998,6/1/1999,2/28/2002
Studio City Branch Library,Library,91604,2,completed,90031,11/1/1998,20000,20000,11/1/1998,12/9/1998,5/17/2001
Pacific Palisades Recreation Center,Rec+Parks,90272,11,completed,90291,11/1/1997,15000,15000,11/1/1997,7/1/1998,9/25/2000
Aliso Pico Community Center,Rec+Parks,90033,14,completed,90034,11/1/1997,20000,17000,11/1/1997,"01/20/1998, 2/10/98",10/31/1999
Wilshire Police Station,Police,90019,10,completed,90019,9/16/1994,150000,150000,11/1/1995,,3/31/1999
Panorama Branch Library,Library,91402,6,completed,90012,11/1/1995,26400,26400,11/1/1995,02/23/93; 04/26/93,10/31/1999
Watts Branch Library,Library,90002,15,completed,90016,5/1/1992,25000,5000,11/1/1995,,3/18/1997
Topanga Police Station | Site-Specific Artwork,Police,91304,3,completed,10012,10/9/2003,238803,195800,10/9/2003,1/6/2004,4/18/2008
Little Tokyo Branch Library [#1],Library,90012,14,completed,90034,10/9/2001,20000,20000,10/9/2001,10/27/01; 3/2/02,6/28/2005
Banning Park Senior Center,Rec+Parks,90744,15,completed,91741,10/8/2003,17300,17300,10/8/2003,"4/28/4, 4/30/04",8/15/2006
King Boulevard Gateway,BOE,90016,10,completed,90013,10/25/2011,160512,150000,10/25/2011,12/9/2011,7/11/2014
Valley Traffic Division / Bureau Headquarters,Police,91345,6,completed,90025,10/21/2003,184302,151200,10/21/2003,1/14/2004,7/8/2009
Olympic Police Station | Site-Specific Artwork,Police,90006,1,completed,2476,10/15/2003,283803,205800,10/15/2003,1/26/2004,10/17/2008
Ascot Branch Library [#1],Library,90003,9,completed,92870,10/15/2001,20000,20000,10/15/2001,3/19/2002,unknown
West Valley Branch Library,Library,91335,3,completed,90066,10/12/2000,20000,20000,10/12/2000,1/11/2000,7/23/2002
Downey Park Swimming Pool,Rec+Parks,90031,1,completed,90058,10/1/2009,25000,20500,10/1/2009,none required,9/30/2012
Ascot Branch Library [#2],Library,90003,9,completed,90012,10/1/2005,10000,10000,10/1/2005,n/a,5/31/2007
Little Tokyo Branch Library [#2],Library,90012,14,completed,90013,10/1/2004,15000,15000,10/1/2004,n/a,8/31/2005
Palms Fire Station No. 43,Fire,90232,5,completed,90302,10/1/2003,59198,50000,10/1/2003,12/16/2003,9/24/2007
Ross Snyder Community Center,Rec+Parks,90011,9,completed,90039,10/1/1999,20000,7000,10/1/1999,5/15/2000,3/27/2003
Sun Valley Metrolink Station,DOT,91352,6,completed,90039,10/1/1998,5000,5000,10/1/1998,N/A,1/14/2002
Truesdale Recycling & Disposal Center,DWP,91352,6,completed,90031,10/1/1994,25000,25000,10/1/1994,,5/1/1996
Cahuenga Branch Library,Library,90029,13,completed,90012,10/1/1994,19000,19000,10/1/1994,7/26/1995,5/31/1997
Felipe de Neve Branch Library,Library,90057,10,completed,90803,10/1/1994,19000,19000,10/1/1994,,10/27/1998
Fremont Branch Library,Library,90036,4,completed,90405,10/1/1994,19000,19000,10/1/1994,,4/1/1996
Memorial Branch Library,Library,90019,4,completed,90042,10/1/1994,19000,19000,10/1/1994,5/15/1995,4/1/1996
Platt Branch Library,Library,91307,3,completed,90302,10/1/1994,27500,27500,10/1/1994,n/a,6/1/1995
Stevenson Branch Library,Library,90023,14,completed,90028,10/1/1994,13500,13500,10/1/1994,5/6/1996,12/1/1996
Venice-Abbot Kinney Branch Library,Library,90291,11,completed,91776,10/1/1994,27500,27500,10/1/1994,3/21/1995,8/1/1996
Vermont Square Branch Library,Library,90037,9,completed,95064,10/1/1994,19000,19000,10/1/1994,9/6/1995,1/23/1997
Lincoln Heights Branch Library,Library,90031,1,completed,92651,10/1/1994,19000,19000,10/1/1994,4/29/95; 9/14/95,5/31/1997
Sherman Oaks Branch Library [#1],Library,91423,4,completed,90042,1/8/2001,20000,20000,1/8/2001,6/13/2001,4/18/2003
East Valley Animal Care & Service Center,Animal Services,91405,6,completed,90024,1/30/2003,124500,102000,1/30/2003,8/13/2003,2/6/2007
Mission Hills Police Station [#1],Police,91345,7,completed,90042,1/29/2001,107500,87125,1/29/2001,5/7/2001,3/29/2005
